,Player,Match,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,4s,6s,
5,AD Russell,ipl2013_01,1,3.0,24,0,8.00,-,-,0,0/24,1,1,33.3
6,AD Russell,ipl2013_04,1,3.0,31,0,10.33,-,-,0,0/31,3,1,27.8
7,AD Russell,ipl2013_28,1,1.0,13,0,13.00,-,-,0,0/13,1,1,16.7
8,AD Russell,ipl2014_21,1,2.0,25,1,12.50,25.0,12.0,0,1/25,2,2,33.3
9,AD Russell,ipl2014_25,1,3.0,27,0,9.00,-,-,0,0/27,3,0,22.2
10,AD Russell,ipl2015_01,1,3.0,21,0,7.00,-,-,0,0/21,0,2,38.9
11,AD Russell,ipl2015_05,1,2.0,16,0,8.00,-,-,0,0/16,3,0,41.7
12,AD Russell,ipl2015_10,1,4.0,20,2,5.00,10.0,12.0,0,2/20,2,0,45.8
13,AD Russell,ipl2015_15,1,4.0,39,2,9.75,19.5,12.0,0,2/39,3,2,41.7
14,AD Russell,ipl2015_18,1,3.0,21,0,7.00,-,-,0,0/21,2,1,44.4
15,AD Russell,ipl2015_20,1,1.0,6,1,6.00,6.0,6.0,0,1/6,1,0,66.7
16,AD Russell,ipl2015_29,1,4.0,24,1,6.00,24.0,24.0,0,1/24,2,1,58.3
17,AD Russell,ipl2015_31,1,4.0,26,2,6.50,13.0,12.0,0,2/26,2,0,66.7
18,AD Russell,ipl2015_34,1,1.4,22,1,13.20,22.0,10.0,0,1/22,0,2,20.0
19,AD Russell,ipl2015_39,1,2.0,10,1,5.00,10.0,12.0,0,1/10,2,0,66.7
20,AD Russell,ipl2015_44,1,4.0,50,1,12.50,50.0,24.0,0,1/50,3,4,33.3
21,AD Russell,ipl2015_51,1,4.0,37,0,9.25,-,-,0,0/37,4,1,33.3
22,AD Russell,ipl2015_54,1,4.0,32,3,8.00,10.7,8.0,0,3/32,5,0,33.3
23,AD Russell,ipl2016_02,1,3.0,24,3,8.00,8.0,6.0,0,3/24,2,0,55.6
24,AD Russell,ipl2016_05,1,4.0,52,1,13.00,52.0,24.0,0,1/52,7,3,33.3
25,AD Russell,ipl2016_08,1,4.0,19,1,4.75,19.0,24.0,0,1/19,1,0,50.0
26,AD Russell,ipl2016_13,1,1.0,18,0,18.00,-,-,0,0/18,0,2,0.0
27,AD Russell,ipl2016_20,1,2.0,16,0,8.00,-,-,0,0/16,2,0,25.0
28,AD Russell,ipl2016_24,1,3.0,28,0,9.33,-,-,0,0/28,5,0,27.8
29,AD Russell,ipl2016_26,1,4.0,26,3,6.50,8.7,8.0,0,3/26,2,1,50.0
30,AD Russell,ipl2016_30,1,4.0,24,1,6.00,24.0,24.0,0,1/24,3,0,50.0
31,AD Russell,ipl2016_32,1,4.0,20,4,5.00,5.0,6.0,0,4/20,0,2,66.7
32,AD Russell,ipl2016_38,1,3.0,21,1,7.00,21.0,18.0,0,1/21,3,0,66.7
33,AD Russell,ipl2016_45,1,2.0,11,1,5.50,11.0,12.0,0,1/11,1,0,58.3
34,AD Russell,ipl2016_48,1,2.3,32,0,12.80,-,-,0,0/32,2,3,33.3
35,AD Russell,ipl2018_03,1,2.0,10,0,5.00,-,-,0,0/10,0,0,16.7
36,AD Russell,ipl2018_05,1,4.0,35,0,8.75,-,-,0,0/35,2,2,29.2
37,AD Russell,ipl2018_10,1,3.0,39,0,13.00,-,-,0,0/39,5,2,22.2
38,AD Russell,ipl2018_13,1,2.0,25,1,12.50,25.0,12.0,0,1/25,5,0,66.7
39,AD Russell,ipl2018_18,1,1.5,31,0,16.91,-,-,0,0/31,4,2,18.2
40,AD Russell,ipl2018_26,1,3.0,28,1,9.33,28.0,18.0,0,1/28,3,1,38.9
41,AD Russell,ipl2018_29,1,3.0,31,3,10.33,10.3,6.0,0,3/31,1,2,33.3
42,AD Russell,ipl2018_33,1,1.0,12,0,12.00,-,-,0,0/12,2,0,33.3
43,AD Russell,ipl2018_37,1,2.0,12,2,6.00,6.0,6.0,0,2/12,1,0,50.0
